sitio;inventario;arboles;variable;anova_p;tukey_variable;tukey_p;bartlett_p
Lubia_incrementos;1-2;Quercus pirenaica;Vi;0,37113656430299813;E-A;0,58756393232208171;0,00336793224631949
Lubia_incrementos;1-2;Quercus pirenaica;Vi;0,37113656430299813;E-D;0,88761324358442406;0,00336793224631949
Lubia_incrementos;1-2;Quercus pirenaica;Wi;0,48928812355167250;D-A;0,48713783435472990;0,05024381689985555
Lubia_incrementos;1-2;Quercus pirenaica;Wi;0,48928812355167250;E-A;0,95523215452467813;0,05024381689985555
Lubia_incrementos;1-2;Quercus pirenaica;Wi;0,48928812355167250;E-D;0,64480495879893041;0,05024381689985555
Lubia_incrementos;1-2;P. pinaster + Q. pirenaica;ABi;0,52419175042736388;D-A;0,94290523195662734;0,76232599429480230
Lubia_incrementos;1-2;P. pinaster + Q. pirenaica;ABi;0,52419175042736388;E-A;0,69632007660516626;0,76232599429480230
Lubia_incrementos;1-2;P. pinaster + Q. pirenaica;ABi;0,52419175042736388;E-D;0,51403083629000834;0,76232599429480230
Lubia_incrementos;1-2;P. pinaster + Q. pirenaica;Vi;0,85921266444661848;D-A;0,84671432305941130;0,97983200180755681
Lubia_incrementos;1-2;P. pinaster + Q. pirenaica;Vi;0,85921266444661848;E-A;0,95150436485183798;0,97983200180755681
Lubia_incrementos;1-2;P. pinaster + Q. pirenaica;Vi;0,85921266444661848;E-D;0,96479802517440105;0,97983200180755681
Lubia_incrementos;1-2;P. pinaster + Q. pirenaica;Wi;0,78487573252479492;D-A;0,90284212534064234;0,94327307603490562
Lubia_incrementos;1-2;P. pinaster + Q. pirenaica;Wi;0,78487573252479492;E-A;0,77017683828830996;0,94327307603490562
Lubia_incrementos;1-2;P. pinaster + Q. pirenaica;Wi;0,78487573252479492;E-D;0,96099578976118638;0,94327307603490562
Lubia_incrementos;2-3;Pinus pinaster;Dgi;0,00209711788923227;D-A;0,01011347498461856;0,24488796552323405
Lubia_incrementos;2-3;Pinus pinaster;Dgi;0,00209711788923227;E-A;0,00197754190630361;0,24488796552323405
Lubia_incrementos;2-3;Pinus pinaster;Dgi;0,00209711788923227;E-D;0,27017317897913584;0,24488796552323405
Lubia_incrementos;2-3;Pinus pinaster;Hi;0,93875426000419404;D-A;0,95653210104228203;0,43683499370252760
Lubia_incrementos;2-3;Pinus pinaster;Hi;0,93875426000419404;E-A;0,94254184526144624;0,43683499370252760
Lubia_incrementos;2-3;Pinus pinaster;Hi;0,93875426000419404;E-D;0,99891949499800781;0,43683499370252760
Lubia_incrementos;2-3;Pinus pinaster;ABi;0,44552582847120820;D-A;0,95412843958462146;0,84726644603297674
Lubia_incrementos;2-3;Pinus pinaster;ABi;0,44552582847120820;E-A;0,44598872519985189;0,84726644603297674
Lubia_incrementos;2-3;Pinus pinaster;ABi;0,44552582847120820;E-D;0,60031483287486886;0,84726644603297674
Lubia_incrementos;2-3;Pinus pinaster;Vi;0,08467962718115037;D-A;0,48057134861053652;0,82493340445278207
Lubia_incrementos;2-3;Pinus pinaster;Vi;0,08467962718115037;E-A;0,07317002539122530;0,82493340445278207
Lubia_incrementos;2-3;Pinus pinaster;Vi;0,08467962718115037;E-D;0,34172382342439445;0,82493340445278207
Lubia_incrementos;2-3;Pinus pinaster;Wi;0,09826532935178502;D-A;0,62661648488619448;0,77555448714125541
Lubia_incrementos;2-3;Pinus pinaster;Wi;0,09826532935178502;E-A;0,08815280585771135;0,77555448714125541
Lubia_incrementos;2-3;Pinus pinaster;Wi;0,09826532935178502;E-D;0,29525219358262289;0,77555448714125541
Lubia_incrementos;2-3;Quercus pirenaica;Dgi;0,46711443562621358;D-A;0,80445048091812910;0,81916442202176720
Lubia_incrementos;2-3;Quercus pirenaica;Dgi;0,46711443562621358;E-A;0,78527754809899541;0,81916442202176720
Lubia_incrementos;2-3;Quercus pirenaica;Dgi;0,46711443562621358;E-D;0,43752513888248712;0,81916442202176720
Lubia_incrementos;2-3;Quercus pirenaica;Hi;0,84781177343859604;D-A;0,87867883841663597;0,88013917482622062
Lubia_incrementos;2-3;Quercus pirenaica;Hi;0,84781177343859604;E-A;0,86555022171339524;0,88013917482622062
Lubia_incrementos;2-3;Quercus pirenaica;Hi;0,84781177343859604;E-D;0,99955568992955224;0,88013917482622062
Lubia_incrementos;2-3;Quercus pirenaica;ABi;0,34914042048420346;D-A;0,36158141047310977;0,17963079609530511
Lubia_incrementos;2-3;Quercus pirenaica;ABi;0,34914042048420346;E-A;0,96455443674580466;0,17963079609530511
Lubia_incrementos;2-3;Quercus pirenaica;ABi;0,34914042048420346;E-D;0,48076438305788238;0,17963079609530511
Lubia_incrementos;2-3;Quercus pirenaica;Vi;0,37284632497684789;D-A;0,36304219584360764;0,05296372279581028
Lubia_incrementos;2-3;Quercus pirenaica;Vi;0,37284632497684789;E-A;0,91036669622651467;0,05296372279581028
Lubia_incrementos;2-3;Quercus pirenaica;Vi;0,37284632497684789;E-D;0,56702901019147522;0,05296372279581028
Lubia_incrementos;2-3;Quercus pirenaica;Wi;0,50609925682082491;D-A;0,50869722482528523;0,08373575097836104
Lubia_incrementos;2-3;Quercus pirenaica;Wi;0,50609925682082491;E-A;0,96579669950102343;0,08373575097836104
Lubia_incrementos;2-3;Quercus pirenaica;Wi;0,50609925682082491;E-D;0,64725855782175290;0,08373575097836104
Lubia_incrementos;2-3;P. pinaster + Q. pirenaica;ABi;0,39461645228889819;D-A;0,98121182539197593;0,94125248970893893
Lubia_incrementos;2-3;P. pinaster + Q. pirenaica;ABi;0,39461645228889819;E-A;0,50804319264903619;0,94125248970893893
Lubia_incrementos;2-3;P. pinaster + Q. pirenaica;ABi;0,39461645228889819;E-D;0,41622508724778640;0,94125248970893893
Lubia_incrementos;2-3;P. pinaster + Q. pirenaica;Vi;0,16041968810793716;D-A;0,99997975436260611;0,94521050042318500
Lubia_incrementos;2-3;P. pinaster + Q. pirenaica;Vi;0,16041968810793716;E-A;0,20608600122800524;0,94521050042318500
Lubia_incrementos;2-3;P. pinaster + Q. pirenaica;Vi;0,16041968810793716;E-D;0,20766089856071990;0,94521050042318500
Lubia_incrementos;2-3;P. pinaster + Q. pirenaica;Wi;0,15828474398664358;D-A;0,99885160911655646;0,94446775236074532
Lubia_incrementos;2-3;P. pinaster + Q. pirenaica;Wi;0,15828474398664358;E-A;0,19872350522269477;0,94446775236074532
Lubia_incrementos;2-3;P. pinaster + Q. pirenaica;Wi;0,15828474398664358;E-D;0,21046472889212320;0,94446775236074532
